rownames,ZoneName,X,Y
ELK457,St Marys and Gray Hill,1771917,442155.8
ELK462,St Marys and Gray Hill,1771917,442155.8
ELK464,St Marys and Gray Hill,1771917,442155.8
ELK478,St Marys and Gray Hill,1771917,442155.8
ELK484,St Marys and Gray Hill,1771917,442155.8
ELK485,St Marys and Gray Hill,1771917,442155.8
ELK507,St Marys and Gray Hill,1771917,442155.8
ELK592,St Marys and Gray Hill,1771917,442155.8
ELK602,St Marys and Gray Hill,1771917,442155.8
ELK607,St Marys and Gray Hill,1771917,442155.8
ELK498,Bear Hollow,1802623,454556.6
ELK527,Bear Hollow,1802623,454556.6
ELK530,Bear Hollow,1802623,454556.6
ELK569,Bear Hollow,1802623,454556.6
ELK571,Bear Hollow,1802623,454556.6
ELK603,Bear Hollow,1802623,454556.6
ELK606,Bear Hollow,1802623,454556.6
Elk714,Bear Hollow,1802623,454556.6
Elk744,Bear Hollow,1802623,454556.6
Elk745,Bear Hollow,1802623,454556.6
ELK577,Medix,1791543,403880.2
ELK579,Medix,1791543,403880.2
Elk650,Medix,1791543,403880.2
ELK652,Medix,1791543,403880.2
ELK654,Medix,1791543,403880.2
Elk701,Medix,1791543,403880.2
Elk703,Medix,1791543,403880.2
Elk771,Medix,1791543,403880.2
Elk773,Medix,1791543,403880.2
ELK500,Medix,1791543,403880.2
ELK556,Grant,1822040,419101.7
ELK638,Grant,1822040,419101.7
ELK640,Grant,1822040,419101.7
ELK655,Grant,1822040,419101.7
Elk686,Grant,1822040,419101.7
Elk688,Grant,1822040,419101.7
Elk723,Grant,1822040,419101.7
Elk777,Grant,1822040,419101.7
Elk779,Grant,1822040,419101.7
Elk780,Grant,1822040,419101.7
